"school_id","school_name","address","city","state","zip_code","class_id","school_id-2","class_name","city-2","schedule_time","room_number","teacher_id","school_id-3","first_name","last_name","subject","hire_date","enrollment_id","school_id-4","boy_id","girl_id","enrollment_date","student_id","school_id-5","first_name-2","last_name-2","date_of_birth","grade_level","subject_id","school_id-6","subject_name","description","credits","teacher_name"
2,"School 2","Address 2","City 2","State 2","ZIP00002",1,2,"Class 1","City 1","08:01:00","Room 1",1,2,"TeacherFirstName1","TeacherLastName1","Subject 1","2010-01-02",1,2,2,502,"2022-01-02",1,2,"FirstName1","LastName1","2000-01-02",2,1001,2,"Unique Subject 1001","Unique description for subject 1001",2,"Teacher 1001"
3,"School 3","Address 3","City 3","State 3","ZIP00003",2,3,"Class 2","City 2","08:02:00","Room 2",2,3,"TeacherFirstName2","TeacherLastName2","Subject 2","2010-01-03",2,3,3,503,"2022-01-03",2,3,"FirstName2","LastName2","2000-01-03",3,1002,3,"Unique Subject 1002","Unique description for subject 1002",3,"Teacher 1002"
4,"School 4","Address 4","City 4","State 4","ZIP00004",3,4,"Class 3","City 3","08:03:00","Room 3",3,4,"TeacherFirstName3","TeacherLastName3","Subject 3","2010-01-04",3,4,4,504,"2022-01-04",3,4,"FirstName3","LastName3","2000-01-04",4,1003,4,"Unique Subject 1003","Unique description for subject 1003",4,"Teacher 1003"
5,"School 5","Address 5","City 5","State 0","ZIP00005",4,5,"Class 4","City 4","08:04:00","Room 4",4,5,"TeacherFirstName4","TeacherLastName4","Subject 4","2010-01-05",4,5,5,505,"2022-01-05",4,5,"FirstName4","LastName4","2000-01-05",5,1004,5,"Unique Subject 1004","Unique description for subject 1004",5,"Teacher 1004"
6,"School 6","Address 6","City 6","State 1","ZIP00006",5,6,"Class 5","City 5","08:05:00","Room 5",5,6,"TeacherFirstName5","TeacherLastName5","Subject 5","2010-01-06",5,6,6,506,"2022-01-06",5,6,"FirstName5","LastName5","2000-01-06",6,1005,6,"Unique Subject 1005","Unique description for subject 1005",1,"Teacher 1005"
7,"School 7","Address 7","City 7","State 2","ZIP00007",6,7,"Class 6","City 6","08:06:00","Room 6",6,7,"TeacherFirstName6","TeacherLastName6","Subject 6","2010-01-07",6,7,7,507,"2022-01-07",6,7,"FirstName6","LastName6","2000-01-07",7,1006,7,"Unique Subject 1006","Unique description for subject 1006",2,"Teacher 1006"
8,"School 8","Address 8","City 8","State 3","ZIP00008",7,8,"Class 7","City 7","08:07:00","Room 7",7,8,"TeacherFirstName7","TeacherLastName7","Subject 7","2010-01-08",7,8,8,508,"2022-01-08",7,8,"FirstName7","LastName7","2000-01-08",8,1007,8,"Unique Subject 1007","Unique description for subject 1007",3,"Teacher 1007"
9,"School 9","Address 9","City 9","State 4","ZIP00009",8,9,"Class 8","City 8","08:08:00","Room 8",8,9,"TeacherFirstName8","TeacherLastName8","Subject 8","2010-01-09",8,9,9,509,"2022-01-09",8,9,"FirstName8","LastName8","2000-01-09",9,1008,9,"Unique Subject 1008","Unique description for subject 1008",4,"Teacher 1008"
10,"School 10","Address 10","City 0","State 0","ZIP00010",9,10,"Class 9","City 9","08:09:00","Room 9",9,10,"TeacherFirstName9","TeacherLastName9","Subject 9","2010-01-10",9,10,10,510,"2022-01-10",9,10,"FirstName9","LastName9","2000-01-10",10,1009,10,"Unique Subject 1009","Unique description for subject 1009",5,"Teacher 1009"
11,"School 11","Address 11","City 1","State 1","ZIP00011",10,11,"Class 10","City 0","08:10:00","Room 10",10,11,"TeacherFirstName10","TeacherLastName10","Subject 0","2010-01-11",10,11,11,511,"2022-01-11",10,11,"FirstName10","LastName10","2000-01-11",11,1010,11,"Unique Subject 1010","Unique description for subject 1010",1,"Teacher 1010"
